n_estimators,max_depth,class_weight,max_features,min_samples_split,auc_score,train_time_sec
300,6,balanced,log2,5,0.7718304501888735,5.5656585693359375
300,6,balanced,log2,10,0.7691298619601699,5.51590895652771
800,6,balanced,log2,2,0.7688646133541391,12.872009754180908
600,6,balanced,log2,2,0.7678117571936168,6.6105568408966064
300,6,balanced,log2,2,0.765473063481384,5.701082706451416
100,6,balanced,sqrt,10,0.7649465974763665,2.4386253356933594
100,6,balanced,log2,5,0.758133304085351,2.1224734783172607
100,6,balanced,log2,2,0.7448663790539183,2.179708242416382
100,6,balanced,log2,10,0.7402396569916511,2.179724931716919
800,4,balanced,sqrt,10,0.688072755704515,9.71481442451477
800,4,balanced,sqrt,2,0.686925844309799,10.426210165023804
800,4,balanced,sqrt,5,0.6863605054855472,9.735515832901001
600,4,balanced,sqrt,2,0.6817650599848367,6.994612216949463
600,4,balanced,sqrt,10,0.6814004919783645,6.745281219482422
600,4,balanced,sqrt,5,0.6806975474331806,6.777551651000977
800,4,balanced,log2,10,0.6769360101259149,8.465081691741943
800,4,balanced,log2,2,0.6752072075306499,8.654907464981079
800,4,balanced,log2,5,0.6744848144477988,8.60330080986023
600,4,balanced,log2,10,0.6726018427608601,6.04293155670166
600,4,balanced,log2,2,0.6707101413903063,6.0020592212677
600,4,balanced,log2,5,0.6702818183610453,6.025812387466431
300,4,balanced,log2,10,0.6685487491695941,3.0653676986694336
300,4,balanced,log2,2,0.6672911694066825,5.07130765914917
300,4,balanced,log2,5,0.666198371179904,2.9948129653930664
300,4,balanced,sqrt,2,0.6656851614912611,5.880699634552002
300,4,balanced,sqrt,5,0.6641574724339555,5.921493291854858
300,4,balanced,sqrt,10,0.6618499937462401,6.010839462280273
100,4,balanced,sqrt,5,0.6589270568620808,2.157853364944458
100,4,balanced,log2,10,0.6578988029969719,1.9705076217651367
100,4,balanced,sqrt,2,0.6573056289720618,2.161545753479004
100,4,balanced,log2,2,0.6562914336766815,1.9833779335021973
100,4,balanced,log2,5,0.6560369601663145,1.9501140117645264
100,4,balanced,sqrt,10,0.6541744025801495,2.1749186515808105
