n_estimators,max_depth,learning_rate,subsample,colsample_bytree,auc_score,train_time_sec
300,8,0.05,1.0,0.8,0.8053374362398865,6.61950421333313
300,10,0.05,0.8,0.8,0.8053220898692088,6.6260902881622314
1000,6,0.01,1.0,0.8,0.8052487819260421,20.41578984260559
1000,4,0.01,0.8,1.0,0.8052065854625834,15.970309257507324
1000,4,0.01,1.0,1.0,0.8051742421570768,15.627851486206055
300,10,0.05,1.0,0.8,0.8051411393976141,6.880368947982788
800,8,0.01,1.0,1.0,0.805109448042891,29.37079358100891
1000,10,0.01,0.8,1.0,0.8049953866661871,23.854432582855225
100,4,0.05,0.8,1.0,0.8049604482740276,3.4793078899383545
300,8,0.05,0.8,0.8,0.8049443408128878,6.733728408813477
1000,4,0.01,1.0,0.8,0.8049354727801497,14.826438426971436
1000,6,0.01,0.8,1.0,0.804924768970019,20.722322702407837
1000,8,0.01,0.8,1.0,0.8047674887368259,23.40777349472046
300,6,0.05,1.0,0.8,0.8046872193929079,6.767406463623047
300,6,0.05,0.8,0.8,0.8045190255814251,6.57030987739563
1000,8,0.01,1.0,0.8,0.8043295860959772,23.935821056365967
1000,10,0.01,1.0,0.8,0.8043165313916844,25.38548970222473
1000,6,0.01,1.0,1.0,0.8042812703267774,21.072927713394165
600,8,0.05,1.0,0.8,0.8042641439942263,8.512064218521118
800,10,0.01,1.0,1.0,0.8042470357480503,34.45411705970764
100,10,0.05,1.0,0.8,0.8040424397615398,4.886963129043579
300,8,0.05,1.0,1.0,0.8039981044313994,6.868102312088013
300,6,0.05,0.8,1.0,0.8039944897970208,6.920485019683838
800,8,0.05,1.0,0.8,0.8039940727717936,12.247294425964355
300,10,0.05,1.0,1.0,0.8039223017371989,7.350543260574341
100,8,0.05,1.0,0.8,0.8038928035215257,4.8422322273254395
600,10,0.05,1.0,0.8,0.8038807871525188,8.705917596817017
300,4,0.05,0.8,0.8,0.8038710589827484,5.858619689941406
600,6,0.05,1.0,0.8,0.8038708940143173,8.32364821434021
300,8,0.05,0.8,1.0,0.8038408442831997,6.841073989868164
1000,8,0.01,1.0,1.0,0.8037556266438737,25.157106399536133
300,10,0.05,0.8,1.0,0.8037216395450948,6.9866721630096436
300,4,0.05,1.0,0.8,0.8037205065873337,6.192928075790405
800,6,0.05,1.0,0.8,0.8037044322360621,8.772320985794067
1000,8,0.05,1.0,0.8,0.8036126724874573,10.530398607254028
100,4,0.05,1.0,1.0,0.8035047312178225,3.5993902683258057
100,6,0.05,1.0,0.8,0.8034170107792149,4.00130295753479
800,10,0.05,1.0,0.8,0.8034056510662975,12.176023483276367
1000,6,0.05,1.0,0.8,0.8033080697522297,10.112706899642944
300,4,0.05,1.0,1.0,0.8032433258008472,6.3356828689575195
1000,10,0.05,1.0,0.8,0.803088235235488,11.108991384506226
100,8,0.05,1.0,1.0,0.8029702074638998,4.48658299446106
1000,10,0.01,1.0,1.0,0.8029015969670501,25.993523359298706
800,4,0.05,1.0,0.8,0.8028960766322917,8.115548372268677
300,6,0.05,1.0,1.0,0.802860985935636,7.027465105056763
800,8,0.05,1.0,1.0,0.8027964648699342,13.491408348083496
600,8,0.05,1.0,1.0,0.8026959345988421,8.539093971252441
600,10,0.05,0.8,0.8,0.8026668576828823,8.400602579116821
100,10,0.05,1.0,1.0,0.8026641745658849,5.218525409698486
100,4,0.05,1.0,0.8,0.802597350230762,3.474719524383545
1000,4,0.05,1.0,0.8,0.802513079687649,9.273230791091919
